"user","track","artist","date","timestamp"
"aaronsrun","S.W.","Blonde Redhead","8 Oct 2011, 03:21","1318044072"
"aaronsrun","Our Breath In Winter","Caspian","8 Oct 2011, 03:24","1318044297"
"aaronsrun","The Dove","Caspian","8 Oct 2011, 03:28","1318044500"
"aaronsrun","関森 -shizu mori-","ironomi","8 Oct 2011, 03:47","1318045629"
"aaronsrun","La mi realidad","Andrei Machado","8 Oct 2011, 03:49","1318045770"
"aaronsrun","Achei o abismo, está em mim","Andrei Machado","8 Oct 2011, 04:35","1318048537"
"aaronsrun","E, finalmente, deixei o sol entrar","Andrei Machado","8 Oct 2011, 04:38","1318048722"
"aaronsrun","Después de muertos","Andrei Machado","8 Oct 2011, 04:42","1318048958"
"aaronsrun","05. Sou, das verdades, a maior farsa","Andrei Machado","8 Oct 2011, 04:45","1318049153"
"aaronsrun","Eu sei que sou fraco","Andrei Machado","8 Oct 2011, 04:47","1318049265"
"aaronsrun","S.W.","Blonde Redhead","8 Oct 2011, 04:50","1318049416"
"aaronsrun","Spring And By Summer Fall","Blonde Redhead","8 Oct 2011, 05:00","1318050006"
"aaronsrun","Silently","Blonde Redhead","8 Oct 2011, 05:04","1318050263"
"aaronsrun","Publisher","Blonde Redhead","8 Oct 2011, 05:08","1318050502"
"aaronsrun","Heroine","Blonde Redhead","8 Oct 2011, 05:12","1318050746"
"aaronsrun","Top Ranking","Blonde Redhead","8 Oct 2011, 05:16","1318051005"
"aaronsrun","My Impure Hair","Blonde Redhead","8 Oct 2011, 05:20","1318051213"
"aaronsrun","Mie","Caspian","8 Oct 2011, 05:25","1318051503"
"aaronsrun","La Cerva","Caspian","8 Oct 2011, 05:29","1318051754"
"aaronsrun","Ghosts of the Garden City","Caspian","8 Oct 2011, 05:34","1318052054"
"aaronsrun","Malacoda","Caspian","8 Oct 2011, 05:41","1318052506"
"aaronsrun","Epochs in Dmaj","Caspian","8 Oct 2011, 05:46","1318052808"
"aaronsrun","Of Foam and Wave","Caspian","8 Oct 2011, 05:51","1318053110"
"aaronsrun","Concrescence","Caspian","8 Oct 2011, 05:58","1318053487"
"aaronsrun","The Raven","Caspian","8 Oct 2011, 06:02","1318053748"
"aaronsrun","Vienna","Caspian","8 Oct 2011, 06:09","1318054168"
"aaronsrun","Sycamore","Caspian","8 Oct 2011, 06:15","1318054540"
"aaronsrun","Moksha","Caspian","8 Oct 2011, 06:24","1318055080"
"aaronsrun","Some Are White Light","Caspian","8 Oct 2011, 06:33","1318055628"
"aaronsrun","Sea Lawn","Caspian","8 Oct 2011, 06:39","1318055954"
"aaronsrun","Crawlspace","Caspian","8 Oct 2011, 06:44","1318056278"
"aaronsrun","Book Nine","Caspian","8 Oct 2011, 06:52","1318056736"
"aaronsrun","The Dropsonde","Caspian","8 Oct 2011, 06:57","1318057079"
"aaronsrun","Brombie","Caspian","8 Oct 2011, 07:00","1318057204"
"aaronsrun","Our Breath In Winter","Caspian","8 Oct 2011, 07:06","1318057563"
"aaronsrun","The Dove","Caspian","8 Oct 2011, 07:09","1318057766"
"aaronsrun","ASA","Caspian","8 Oct 2011, 07:12","1318057951"
